"Variable","Coefficient","HR","Lower95","Upper95","PValue"
"riskScore",0.100803610208173,1.10605940165661,2.92339983183189,3.12803804003291,1.04250818279145e-10
"Age",0.0372094139909678,1.03791035103025,2.78168358256835,2.86617968043992,4.2078583598368e-07
"Stage_num",0.426139607009989,1.53133454524815,2.52254266818163,12.6086972942443,0.0973584239255249
"T_num",0.0322445515825863,1.03277003997271,2.16105581246556,3.99139160502131,0.829131688268469
"M_num",0.499834667060279,1.6484487052983,2.07179866639095,41.7012669134768,0.230330234664605
"N_num",0.212045027108342,1.23620354649638,2.54694319368157,5.12752537356304,0.136843313335242
